tra_or_occ,mid_time,epoch
tra,2008-02-19T00:35:56.544,-1640
occ,2008-10-29T18:45:56.160,-1408
occ,2008-11-03T03:33:15.840,-1404
tra,2009-01-04T21:40:53.760,-1346
tra,2009-01-09T06:27:15.552,-1342
tra,2009-11-05T09:50:07.584,-1067
tra,2009-11-11T23:00:23.904,-1061
tra,2009-11-28T07:56:04.704,-1046
tra,2009-12-07T01:28:23.232,-1038
occ,2009-12-29T10:25:32.160,-1018
occ,2010-01-06T01:49:48.000,-1011
tra,2010-01-13T04:03:17.280,-1004
tra,2010-01-14T06:16:34.464,-1003
tra,2010-02-02T21:45:38.016,-985
tra,2010-02-26T22:02:56.544,-963
tra,2010-10-25T00:43:11.136,-743
tra,2010-10-29T09:30:05.760,-739
tra,2010-11-09T07:25:58.944,-729
tra,2010-11-10T09:39:08.352,-728
occ,2010-11-17T11:53:00.096,-722
tra,2010-11-18T00:58:36.480,-721
tra,2010-12-12T01:15:01.440,-699
tra,2010-12-12T01:15:55.872,-699
tra,2011-01-05T01:31:56.640,-677
occ,2011-01-15T10:22:04.800,-668
occ,2011-01-26T08:20:06.720,-658
tra,2011-01-29T01:48:52.704,-655
tra,2011-02-05T17:10:20.928,-648
tra,2011-02-07T21:33:07.200,-646
tra,2011-02-08T23:45:44.640,-645
tra,2011-02-11T04:08:33.504,-643
tra,2011-03-02T19:38:20.256,-625
tra,2011-11-11T00:40:07.104,-393
tra,2011-11-21T22:36:27.072,-383
tra,2011-11-23T00:48:05.760,-382
tra,2011-11-25T05:11:32.640,-380
tra,2011-12-08T07:31:32.448,-368
occ,2011-12-15T09:48:57.600,-362
tra,2011-12-24T16:25:16.608,-353
tra,2011-12-27T23:00:14.400,-350
occ,2011-12-28T12:06:46.080,-350
tra,2012-01-19T21:04:39.072,-329
occ,2012-01-20T10:08:58.560,-329
tra,2012-01-20T23:17:00.960,-328
tra,2012-01-22T01:28:00.768,-327
tra,2012-01-25T08:02:53.376,-324
tra,2012-01-26T10:15:10.080,-323
tra,2012-02-01T23:24:37.152,-317
tra,2012-02-03T01:36:16.704,-316
tra,2012-02-12T21:20:45.024,-307
tra,2012-02-13T23:32:47.904,-306
tra,2012-02-24T21:28:55.776,-296
tra,2012-02-25T23:41:12.480,-295
tra,2012-02-27T01:52:16.608,-294
tra,2012-02-28T04:04:26.400,-293
tra,2012-03-10T02:00:38.592,-283
tra,2012-03-18T19:34:04.512,-275
tra,2012-03-19T21:45:10.368,-274
tra,2012-11-13T22:15:17.856,-55
tra,2012-11-18T07:03:25.056,-51
tra,2012-12-12T07:19:24.096,-29
tra,2012-12-21T00:51:36.576,-21
tra,2012-12-23T05:14:44.448,-19
tra,2013-01-05T07:35:06.720,-7
tra,2013-01-09T16:21:46.656,-3
tra,2013-01-12T22:55:43.104,0
tra,2013-01-27T03:27:42.336,13
tra,2013-02-04T21:00:48.384,21
tra,2013-02-05T23:12:57.312,22
tra,2013-11-08T00:07:02.496,274
tra,2013-11-09T02:18:35.136,275
tra,2013-11-10T04:30:08.640,276
tra,2013-11-11T06:42:18.432,277
tra,2013-12-03T02:34:27.264,297
tra,2013-12-04T04:46:48.288,298
occ,2013-12-12T09:15:40.896,305
occ,2013-12-15T15:49:03.648,308
tra,2013-12-28T05:03:04.608,320
tra,2014-01-01T13:49:24.672,324
tra,2014-01-04T20:24:12.096,327
tra,2014-01-05T22:35:33.504,328
tra,2014-01-07T00:46:53.184,329
tra,2014-01-16T20:32:03.840,338
tra,2014-01-20T03:07:45.696,341
tra,2014-01-31T01:03:07.776,351
tra,2014-02-05T12:02:19.104,356
tra,2014-02-15T07:46:48.288,365
tra,2014-02-22T23:08:22.560,372
tra,2014-03-02T14:30:09.792,379
tra,2014-03-04T18:53:09.888,381
tra,2014-03-05T21:04:25.248,382
tra,2014-11-25T00:02:48.480,624
