tra_or_occ,transit_time,sigma_transit_time,epoch
tra,1203381291.3587992,37.15200126171112,-1640
occ,1225305890.9775174,69.12000322341919,-1408
occ,1225683130.6574636,51.83999240398407,-1404
tra,1231105187.575979,24.191982984542847,-1346
tra,1231482369.3678179,53.56800556182861,-1342
tra,1257414541.401451,36.287994742393494,-1067
tra,1257980357.7213457,37.15200126171112,-1061
tra,1259394898.521006,27.648009300231934,-1046
tra,1260149237.0487766,31.103995323181152,-1038
occ,1262082265.9761803,86.40001404285431,-1018
occ,1262742521.8159413,190.07999885082245,-1011
tra,1263355331.0957282,39.74398076534271,-1004
tra,1263449728.2797182,35.42398810386658,-1003
tra,1265147071.8311837,16.416004300117493,-985
tra,1267221710.3586483,37.15200126171112,-963
tra,1287967324.9535882,62.207990884780884,-743
tra,1288344539.5775187,68.25599670410156,-739
tra,1289287492.761392,31.96800208091736,-729
tra,1289381882.1693769,26.784002780914307,-728
occ,1289994713.9132128,101.95201182365417,-722
tra,1290041850.2972023,34.55998146533966,-721
tra,1292116435.2566574,34.55998146533966,-699
tra,1292116489.6886694,24.191983103752136,-699
tra,1294191050.4559875,24.191982984542847,-677
occ,1295086858.6156874,77.75998854637146,-668
occ,1296029940.5353868,146.87999176979065,-658
tra,1296265666.5193272,58.752004861831665,-655
tra,1296925754.743123,30.239988803863525,-648
tra,1297114321.0150664,25.055989623069763,-646
tra,1297208678.4550412,20.735996961593628,-645
tra,1297397247.3189664,25.055989623069763,-643
tra,1299094634.070594,33.69601511955261,-625
tra,1320971940.9213264,23.328016757965088,-393
tra,1321914920.8891506,18.144017457962036,-383
tra,1322009219.5771234,23.328016757965088,-382
tra,1322197826.4570596,20.735996961593628,-380
tra,1323329426.2647767,27.648009419441223,-368
occ,1323942471.4165704,112.32001030445099,-362
tra,1324743850.424328,26.784002780914307,-353
tra,1325026748.216235,19.007983803749084,-350
occ,1325073939.8961976,181.44001364707947,-350
tra,1327007012.8875594,15.551997780799866,-329
occ,1327054072.375562,155.5200173854828,-329
tra,1327101354.7755318,14.68799114227295,-328
tra,1327195614.5835233,28.51201593875885,-327
tra,1327478507.1914349,9.503991961479187,-324
tra,1327572843.895369,8.63998532295227,-323
tra,1328138610.9672244,14.68799114227295,-317
tra,1328232910.5191996,27.648009419441223,-316
tra,1329081578.8389435,33.6960152387619,-307
tra,1329175901.7189386,30.239988923072815,-306
tra,1330118869.5906947,29.3759822845459,-296
tra,1330213206.294679,30.239988803863525,-295
tra,1330307470.4226744,27.648009419441223,-294
tra,1330401800.2146473,36.287994623184204,-293
tra,1331344772.4065025,31.96800208091736,-283
tra,1332099178.3264291,31.96800208091736,-275
tra,1332193444.182408,26.784002661705017,-274
tra,1352844850.6732678,28.51201593875885,-55
tra,1353222137.8731878,33.69601511955261,-51
tra,1355296696.9126058,25.91999614238739,-29
tra,1356051029.392382,25.91999626159668,-21
tra,1356239617.2643209,25.91999614238739,-19
tra,1357371239.5359497,25.91999626159668,-7
tra,1357748439.471807,39.74398076534271,-3
tra,1358031275.9197297,20.735996961593628,0
tra,1359257195.1513238,32.832008600234985,13
tra,1360011581.1991267,23.328016757965088,21
tra,1360105910.1270852,25.055989623069763,22
tra,1383869155.31336,18.144017457962036,274
tra,1383963447.9533324,25.91999614238739,275
tra,1384057741.4573114,28.51201593875885,276
tra,1384152071.2493246,61.34398424625397,277
tra,1386038000.0808487,16.416004300117493,297
tra,1386132341.1048179,37.15200126171112,298
occ,1386839673.712617,95.03999936580658,305
occ,1387122476.4645317,121.82400226593018,308
tra,1388206917.4241629,29.3759822845459,320
tra,1388584097.4880698,29.3759822845459,324
tra,1388866984.9119773,16.416004300117493,327
tra,1388961266.319931,16.416004300117493,328
tra,1389055545.9999118,26.784002780914307,329
tra,1389904256.6556091,24.191982984542847,338
tra,1390187198.5115342,27.648009419441223,341
tra,1391130120.5912333,34.55998158454895,351
tra,1391601671.9191153,25.055989623069763,356
tra,1392450341.102876,25.055989623069763,365
tra,1393110435.374726,21.600003480911255,372
tra,1393770542.6066136,29.3759822845459,379
tra,1393959122.7025623,29.3759822845459,381
tra,1394053398.0625663,39.74398076534271,382
tra,1416873701.2970364,37.15200126171112,624
tra,1418948254.288448,33.69601511955261,646
tra,1419136881.9043677,42.33600056171417,648
tra,1421965802.7994595,39.74398076534271,678
tra,1422060141.2314065,42.33600044250488,679
tra,1423191716.847081,30.239988803863525,691
tra,1423286001.7110667,31.103995442390442,692
tra,1423851814.5749326,19.007983803749084,698
tra,1423946093.3908744,17.28001093864441,699
tra,1426963690.2863848,26.784002780914307,731
tra,1447897928.9051878,36.287994623184204,953
tra,1451764191.5280356,28.51201593875885,994
tra,1451858462.5679908,28.51201581954956,995
tra,1454875987.7510285,47.519999623298645,1027
tra,1454970312.3590353,19.871990442276,1028
tra,1457044880.9025543,18.144017457962036,1050
tra,1476093235.7536619,30.239988923072815,1252
tra,1477790619.0494916,21.600003480911255,1270
tra,1478827851.049301,29.3759822845459,1281
tra,1479110727.24124,31.96800208091736,1284
tra,1480808149.416838,24.191983103752136,1302
tra,1480902452.424799,19.87199032306671,1303
tra,1484202903.7757347,24.191983103752136,1338
tra,1484297181.7277029,33.69601511955261,1339
occ,1484533001.8876321,117.50400960445404,1341
tra,1484768730.4635487,20.735996961593628,1344
tra,1484863001.503505,19.007983803749084,1345
tra,1485145833.631439,25.055989623069763,1348
tra,1485523011.9673007,37.15200126171112,1352
tra,1485523139.8393087,31.103995442390442,1352
tra,1485994576.2551556,22.46401011943817,1357
tra,1486183147.7110972,41.471993923187256,1359
tra,1487220391.806831,27.648009419441223,1370
tra,1487880524.0946898,34.55998158454895,1377
tra,1487974846.9746897,15.551997661590576,1378
tra,1488069141.3426337,18.144017457962036,1379
